	ubx_m100_FILTER_LEN11_99	ubx_m10_FILTER_LEN11_9	ubx_m11_FILTER_LEN11_10	ubx_m12_FILTER_LEN11_11	ubx_m13_FILTER_LEN11_12	ubx_m14_FILTER_LEN11_13	ubx_m15_FILTER_LEN11_14	ubx_m16_FILTER_LEN11_15	ubx_m17_FILTER_LEN11_16	ubx_m18_FILTER_LEN11_17	ubx_m19_FILTER_LEN11_18	ubx_m1_FILTER_LEN11_0	ubx_m20_FILTER_LEN11_19	ubx_m21_FILTER_LEN11_20	ubx_m22_FILTER_LEN11_21	ubx_m23_FILTER_LEN11_22	ubx_m24_FILTER_LEN11_23	ubx_m25_FILTER_LEN11_24	ubx_m26_FILTER_LEN11_25	ubx_m27_FILTER_LEN11_26	ubx_m28_FILTER_LEN11_27	ubx_m29_FILTER_LEN11_28	ubx_m2_FILTER_LEN11_1	ubx_m30_FILTER_LEN11_29	ubx_m31_FILTER_LEN11_30	ubx_m32_FILTER_LEN11_31	ubx_m33_FILTER_LEN11_32	ubx_m34_FILTER_LEN11_33	ubx_m35_FILTER_LEN11_34	ubx_m36_FILTER_LEN11_35	ubx_m37_FILTER_LEN11_36	ubx_m38_FILTER_LEN11_37	ubx_m39_FILTER_LEN11_38	ubx_m3_FILTER_LEN11_2	ubx_m40_FILTER_LEN11_39	ubx_m41_FILTER_LEN11_40	ubx_m42_FILTER_LEN11_41	ubx_m43_FILTER_LEN11_42	ubx_m44_FILTER_LEN11_43	ubx_m45_FILTER_LEN11_44	ubx_m46_FILTER_LEN11_45	ubx_m47_FILTER_LEN11_46	ubx_m48_FILTER_LEN11_47	ubx_m49_FILTER_LEN11_48	ubx_m4_FILTER_LEN11_3	ubx_m50_FILTER_LEN11_49	ubx_m51_FILTER_LEN11_50	ubx_m52_FILTER_LEN11_51	ubx_m53_FILTER_LEN11_52	ubx_m54_FILTER_LEN11_53	ubx_m55_FILTER_LEN11_54	ubx_m56_FILTER_LEN11_55	ubx_m57_FILTER_LEN11_56	ubx_m58_FILTER_LEN11_57	ubx_m59_FILTER_LEN11_58	ubx_m5_FILTER_LEN11_4	ubx_m60_FILTER_LEN11_59	ubx_m61_FILTER_LEN11_60	ubx_m62_FILTER_LEN11_61	ubx_m63_FILTER_LEN11_62	ubx_m64_FILTER_LEN11_63	ubx_m65_FILTER_LEN11_64	ubx_m66_FILTER_LEN11_65	ubx_m67_FILTER_LEN11_66	ubx_m68_FILTER_LEN11_67	ubx_m69_FILTER_LEN11_68	ubx_m6_FILTER_LEN11_5	ubx_m70_FILTER_LEN11_69	ubx_m71_FILTER_LEN11_70	ubx_m72_FILTER_LEN11_71	ubx_m73_FILTER_LEN11_72	ubx_m74_FILTER_LEN11_73	ubx_m75_FILTER_LEN11_74	ubx_m76_FILTER_LEN11_75	ubx_m77_FILTER_LEN11_76	ubx_m78_FILTER_LEN11_77	ubx_m79_FILTER_LEN11_78	ubx_m7_FILTER_LEN11_6	ubx_m80_FILTER_LEN11_79	ubx_m81_FILTER_LEN11_80	ubx_m82_FILTER_LEN11_81	ubx_m83_FILTER_LEN11_82	ubx_m84_FILTER_LEN11_83	ubx_m85_FILTER_LEN11_84	ubx_m86_FILTER_LEN11_85	ubx_m87_FILTER_LEN11_86	ubx_m88_FILTER_LEN11_87	ubx_m89_FILTER_LEN11_88	ubx_m8_FILTER_LEN11_7	ubx_m90_FILTER_LEN11_89	ubx_m91_FILTER_LEN11_90	ubx_m92_FILTER_LEN11_91	ubx_m93_FILTER_LEN11_92	ubx_m94_FILTER_LEN11_93	ubx_m95_FILTER_LEN11_94	ubx_m96_FILTER_LEN11_95	ubx_m97_FILTER_LEN11_96	ubx_m98_FILTER_LEN11_97	ubx_m99_FILTER_LEN11_98	ubx_m9_FILTER_LEN11_8
ubx_m19_FILTER_LEN11_18	1	0.290048	0.474355	0.123296	0.524321	1	0.669533	0.332801	1	0.606028	0	1	1	1	0.569445	1	0.628103	1	0.547664	1	1	0.602351	1	0.535691	0.435477	1	1	0.610377	0.606603	0.534776	0.6262	0.526182	1	0.298107	0.14434	0.296684	1	0.48669	1	0.540983	1	0.52282	0.532764	0.431654	0.44842	1	0.495245	0.566583	0.524385	0.318596	0.498991	1	0.618479	0.568735	0.578496	1	0.483243	1	1	1	0.56056	0.638759	0.33182	1	1	0.648175	1	0.58839	1	0.276527	0.504805	0.543312	1	0.552599	0.575502	1	1	0.3976	1	1	1	1	0.533854	0.482358	0.379283	0.079712	0.503208	0.586125	0.347811	1	0.568391	0.447875	0.445332	0.642631	0.48646	0.586877	1	0.508659	1	0.612018
ubx_m1_FILTER_LEN11_0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ubx_m20_FILTER_LEN11_19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ubx_m21_FILTER_LEN11_20	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ubx_m22_FILTER_LEN11_21	1	0.57564	0.657869	0.545197	0.504439	1	0.616061	0.463644	1	0.586503	0.569445	1	1	1	0	1	0.358148	1	0.51943	1	1	0.397479	1	0.533548	0.479069	1	1	0.411845	0.286137	0.448215	0.415003	0.363397	1	0.456054	0.447867	0.483275	1	0.493774	1	0.589561	1	0.463907	0.379794	0.53998	0.532207	1	0.547859	0.449443	0.441922	0.522529	0.398952	1	0.473527	0.522453	0.347672	1	0.500625	1	1	1	0.509556	0.271598	0.480735	1	1	0.516231	1	0.482792	1	0.419948	0.480175	0.371799	1	0.382343	0.48906	1	1	0.4972	1	1	1	1	0.483913	0.418668	0.574938	0.55008	0.495143	0.674415	0.535833	1	0.717947	0.409351	0.559771	0.626495	0.381726	0.523083	1	0.587555	1	0.543862
ubx_m23_FILTER_LEN11_22	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ubx_m24_FILTER_LEN11_23	1	0.568245	0.585035	0.701392	0.508662	1	0.222566	0.521724	1	0.475066	0.628103	1	1	1	0.358148	1	0	1	0.515849	1	1	0.422253	1	0.551759	0.399501	1	1	0.515698	0.384105	0.359609	0.367685	0.264785	1	0.560333	0.592151	0.639479	1	0.526262	1	0.469124	1	0.44221	0.184962	0.447948	0.577543	1	0.476209	0.248787	0.291829	0.463161	0.571964	1	0.550125	0.526926	0.451771	1	0.397335	1	1	1	0.479861	0.633851	0.51157	1	1	0.475107	1	0.297175	1	0.581452	0.452523	0.458822	1	0.395113	0.448424	1	1	0.490024	1	1	1	1	0.664801	0.398942	0.363264	0.583107	0.454603	0.408953	0.675036	1	0.525151	0.353703	0.483442	0.511392	0.48396	0.333492	1	0.455346	1	0.599109
ubx_m25_FILTER_LEN11_24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ubx_m26_FILTER_LEN11_25	1	0.359642	0.536948	0.569295	0.386768	1	0.336364	0.332086	1	0.481809	0.547664	1	1	1	0.51943	1	0.515849	1	0	1	1	0.276805	1	0.523479	0.433909	1	1	0.610073	0.418378	0.428049	0.415345	0.449479	1	0.46729	0.392064	0.454336	1	0.461844	1	0.397645	1	0.281053	0.38408	0.449799	0.500289	1	0.358467	0.432568	0.346954	0.337458	0.340063	1	0.353706	0.50725	0.458316	1	0.37276	1	1	1	0.481441	0.45299	0.523156	1	1	0.436252	1	0.318255	1	0.517821	0.507607	0.281538	1	0.303134	0.303448	1	1	0.473155	1	1	1	1	0.486796	0.505942	0.405836	0.465956	0.219703	0.312293	0.471573	1	0.436627	0.408994	0.500931	0.305887	0.277527	0.386652	1	0.301772	1	0.587328
ubx_m27_FILTER_LEN11_26	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ubx_m28_FILTER_LEN11_27	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ubx_m29_FILTER_LEN11_28	1	0.313994	0.599181	0.519122	0.28868	1	0.407646	0.39208	1	0.580856	0.602351	1	1	1	0.397479	1	0.422253	1	0.276805	1	1	0	1	0.54925	0.429119	1	1	0.552331	0.312076	0.43204	0.436348	0.430397	1	0.511951	0.316471	0.54935	1	0.518927	1	0.495118	1	0.232204	0.242839	0.360354	0.356355	1	0.283216	0.416288	0.249084	0.345029	0.282032	1	0.324591	0.539221	0.372398	1	0.284324	1	1	1	0.484035	0.456051	0.471266	1	1	0.147612	1	0.233996	1	0.454134	0.452129	0.069949	1	0.128456	0.178612	1	1	0.491723	1	1	1	1	0.48051	0.475208	0.476536	0.446752	0.274309	0.381528	0.608705	1	0.499469	0.414254	0.449794	0.40008	0.291154	0.481292	1	0.338729	1	0.675973
ubx_m2_FILTER_LEN11_1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ubx_m30_FILTER_LEN11_29	1	0.556177	0.609683	0.540993	0.692226	1	0.497556	0.578167	1	0.433493	0.535691	1	1	1	0.533548	1	0.551759	1	0.523479	1	1	0.54925	1	0	0.545216	1	1	0.332034	0.335146	0.601743	0.571057	0.470019	1	0.601196	0.559762	0.593959	1	0.604967	1	0.452585	1	0.353099	0.448058	0.562006	0.608552	1	0.557193	0.438735	0.610458	0.447147	0.539829	1	0.43878	0.418942	0.400316	1	0.423234	1	1	1	0.513604	0.410531	0.598708	1	1	0.462824	1	0.484499	1	0.580929	0.435964	0.515034	1	0.574531	0.563822	1	1	0.564839	1	1	1	1	0.563171	0.363253	0.357203	0.425859	0.482338	0.483551	0.605891	1	0.406439	0.562222	0.61645	0.379573	0.350623	0.379805	1	0.574461	1	0.546378
ubx_m31_FILTER_LEN11_30	1	0.489259	0.409852	0.497189	0.50741	1	0.517623	0.535047	1	0.41868	0.435477	1	1	1	0.479069	1	0.399501	1	0.433909	1	1	0.429119	1	0.545216	0	1	1	0.528652	0.423822	0.287405	0.421201	0.280032	1	0.410535	0.40293	0.592179	1	0.403238	1	0.404377	1	0.379272	0.368166	0.491706	0.473169	1	0.405785	0.351432	0.288102	0.446844	0.403976	1	0.407017	0.302186	0.394226	1	0.366776	1	1	1	0.555478	0.579537	0.462371	1	1	0.459702	1	0.491192	1	0.376998	0.428856	0.4577	1	0.418297	0.392783	1	1	0.337748	1	1	1	1	0.634933	0.386402	0.379422	0.412107	0.423905	0.4652	0.633712	1	0.57384	0.447378	0.522463	0.533465	0.348079	0.324357	1	0.394112	1	0.48899
ubx_m32_FILTER_LEN11_31	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ubx_m33_FILTER_LEN11_32	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ubx_m34_FILTER_LEN11_33	1	0.572311	0.559652	0.671671	0.625212	1	0.57185	0.55994	1	0.506554	0.610377	1	1	1	0.411845	1	0.515698	1	0.610073	1	1	0.552331	1	0.332034	0.528652	1	1	0	0.428127	0.555245	0.425479	0.469935	1	0.581516	0.66323	0.526907	1	0.557436	1	0.598538	1	0.591221	0.47455	0.606139	0.680569	1	0.580241	0.497992	0.564574	0.584319	0.625671	1	0.527831	0.514318	0.431118	1	0.419141	1	1	1	0.530266	0.43244	0.533687	1	1	0.489593	1	0.628524	1	0.582095	0.503996	0.49258	1	0.562302	0.629636	1	1	0.542146	1	1	1	1	0.536586	0.350961	0.549859	0.591718	0.57258	0.502141	0.642768	1	0.406287	0.612673	0.550549	0.4523	0.482863	0.475627	1	0.616027	1	0.470078
ubx_m35_FILTER_LEN11_34	1	0.454715	0.544139	0.590945	0.547488	1	0.49277	0.553946	1	0.427463	0.606603	1	1	1	0.286137	1	0.384105	1	0.418378	1	1	0.312076	1	0.335146	0.423822	1	1	0.428127	0	0.413992	0.383773	0.355609	1	0.325596	0.414267	0.612905	1	0.418246	1	0.499402	1	0.412552	0.270039	0.43628	0.560785	1	0.511507	0.349836	0.412015	0.345321	0.456018	1	0.412451	0.431948	0.291315	1	0.273337	1	1	1	0.498274	0.48654	0.336951	1	1	0.340945	1	0.488142	1	0.349449	0.381467	0.312927	1	0.363522	0.469257	1	1	0.331928	1	1	1	1	0.54635	0.418108	0.479802	0.514538	0.420977	0.393379	0.656463	1	0.500082	0.517528	0.593546	0.553527	0.311951	0.36069	1	0.523847	1	0.564517
ubx_m36_FILTER_LEN11_35	1	0.482531	0.426117	0.539226	0.316019	1	0.560985	0.506432	1	0.488429	0.534776	1	1	1	0.448215	1	0.359609	1	0.428049	1	1	0.43204	1	0.601743	0.287405	1	1	0.555245	0.413992	0	0.380586	0.320845	1	0.445563	0.47793	0.60974	1	0.467673	1	0.49379	1	0.340677	0.299751	0.457735	0.357847	1	0.424715	0.386306	0.273043	0.503055	0.421592	1	0.461346	0.401148	0.388034	1	0.312862	1	1	1	0.556886	0.672274	0.510622	1	1	0.503595	1	0.427273	1	0.41671	0.416309	0.398304	1	0.43626	0.300131	1	1	0.257648	1	1	1	1	0.587506	0.412747	0.450673	0.502262	0.348197	0.472695	0.710105	1	0.507364	0.442781	0.394107	0.521494	0.436408	0.298485	1	0.362029	1	0.431922
ubx_m37_FILTER_LEN11_36	1	0.518878	0.552234	0.608169	0.579157	1	0.521771	0.503633	1	0.409586	0.6262	1	1	1	0.415003	1	0.367685	1	0.415345	1	1	0.436348	1	0.571057	0.421201	1	1	0.425479	0.383773	0.380586	0	0.408914	1	0.408301	0.558121	0.589166	1	0.437816	1	0.45211	1	0.423139	0.393006	0.520332	0.640345	1	0.479352	0.397704	0.298215	0.369105	0.587801	1	0.515994	0.363949	0.363463	1	0.385338	1	1	1	0.570516	0.551886	0.350515	1	1	0.526464	1	0.468853	1	0.481227	0.365181	0.452106	1	0.476744	0.531868	1	1	0.410669	1	1	1	1	0.635817	0.541063	0.41489	0.603639	0.502971	0.45265	0.590716	1	0.487213	0.508168	0.586548	0.438652	0.547755	0.39733	1	0.399341	1	0.537707
