	ubx_m100_FILTER_LEN11_99	ubx_m10_FILTER_LEN11_9	ubx_m11_FILTER_LEN11_10	ubx_m12_FILTER_LEN11_11	ubx_m13_FILTER_LEN11_12	ubx_m14_FILTER_LEN11_13	ubx_m15_FILTER_LEN11_14	ubx_m16_FILTER_LEN11_15	ubx_m17_FILTER_LEN11_16	ubx_m18_FILTER_LEN11_17	ubx_m19_FILTER_LEN11_18	ubx_m1_FILTER_LEN11_0	ubx_m20_FILTER_LEN11_19	ubx_m21_FILTER_LEN11_20	ubx_m22_FILTER_LEN11_21	ubx_m23_FILTER_LEN11_22	ubx_m24_FILTER_LEN11_23	ubx_m25_FILTER_LEN11_24	ubx_m26_FILTER_LEN11_25	ubx_m27_FILTER_LEN11_26	ubx_m28_FILTER_LEN11_27	ubx_m29_FILTER_LEN11_28	ubx_m2_FILTER_LEN11_1	ubx_m30_FILTER_LEN11_29	ubx_m31_FILTER_LEN11_30	ubx_m32_FILTER_LEN11_31	ubx_m33_FILTER_LEN11_32	ubx_m34_FILTER_LEN11_33	ubx_m35_FILTER_LEN11_34	ubx_m36_FILTER_LEN11_35	ubx_m37_FILTER_LEN11_36	ubx_m38_FILTER_LEN11_37	ubx_m39_FILTER_LEN11_38	ubx_m3_FILTER_LEN11_2	ubx_m40_FILTER_LEN11_39	ubx_m41_FILTER_LEN11_40	ubx_m42_FILTER_LEN11_41	ubx_m43_FILTER_LEN11_42	ubx_m44_FILTER_LEN11_43	ubx_m45_FILTER_LEN11_44	ubx_m46_FILTER_LEN11_45	ubx_m47_FILTER_LEN11_46	ubx_m48_FILTER_LEN11_47	ubx_m49_FILTER_LEN11_48	ubx_m4_FILTER_LEN11_3	ubx_m50_FILTER_LEN11_49	ubx_m51_FILTER_LEN11_50	ubx_m52_FILTER_LEN11_51	ubx_m53_FILTER_LEN11_52	ubx_m54_FILTER_LEN11_53	ubx_m55_FILTER_LEN11_54	ubx_m56_FILTER_LEN11_55	ubx_m57_FILTER_LEN11_56	ubx_m58_FILTER_LEN11_57	ubx_m59_FILTER_LEN11_58	ubx_m5_FILTER_LEN11_4	ubx_m60_FILTER_LEN11_59	ubx_m61_FILTER_LEN11_60	ubx_m62_FILTER_LEN11_61	ubx_m63_FILTER_LEN11_62	ubx_m64_FILTER_LEN11_63	ubx_m65_FILTER_LEN11_64	ubx_m66_FILTER_LEN11_65	ubx_m67_FILTER_LEN11_66	ubx_m68_FILTER_LEN11_67	ubx_m69_FILTER_LEN11_68	ubx_m6_FILTER_LEN11_5	ubx_m70_FILTER_LEN11_69	ubx_m71_FILTER_LEN11_70	ubx_m72_FILTER_LEN11_71	ubx_m73_FILTER_LEN11_72	ubx_m74_FILTER_LEN11_73	ubx_m75_FILTER_LEN11_74	ubx_m76_FILTER_LEN11_75	ubx_m77_FILTER_LEN11_76	ubx_m78_FILTER_LEN11_77	ubx_m79_FILTER_LEN11_78	ubx_m7_FILTER_LEN11_6	ubx_m80_FILTER_LEN11_79	ubx_m81_FILTER_LEN11_80	ubx_m82_FILTER_LEN11_81	ubx_m83_FILTER_LEN11_82	ubx_m84_FILTER_LEN11_83	ubx_m85_FILTER_LEN11_84	ubx_m86_FILTER_LEN11_85	ubx_m87_FILTER_LEN11_86	ubx_m88_FILTER_LEN11_87	ubx_m89_FILTER_LEN11_88	ubx_m8_FILTER_LEN11_7	ubx_m90_FILTER_LEN11_89	ubx_m91_FILTER_LEN11_90	ubx_m92_FILTER_LEN11_91	ubx_m93_FILTER_LEN11_92	ubx_m94_FILTER_LEN11_93	ubx_m95_FILTER_LEN11_94	ubx_m96_FILTER_LEN11_95	ubx_m97_FILTER_LEN11_96	ubx_m98_FILTER_LEN11_97	ubx_m99_FILTER_LEN11_98	ubx_m9_FILTER_LEN11_8
ubx_m19_FILTER_LEN11_18	1	1	1	1	0.08066	1	1	0.373757	1	1	0	1	0.597392	1	1	0.600067	0.588195	1	0.574794	0.541512	1	1	0.655417	0.58608	0.504548	1	1	0.495284	0.534905	1	0.601728	0.505426	1	0.550408	0.555092	1	1	1	1	1	1	0.588718	1	0.511173	0.512102	1	1	0.435754	1	0.472027	1	1	1	0.667282	0.622392	1	0.483723	1	1	1	1	0.518938	0.599078	0.455651	1	0.653122	0.52792	1	1	1	1	0.583947	0.468234	0.529193	0.552744	0.535682	0.514549	1	1	0.534372	1	1	1	1	0.570642	1	0.466509	1	1	1	1	0.528389	1	1	1	1	0.612976	1	1	1
ubx_m1_FILTER_LEN11_0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ubx_m20_FILTER_LEN11_19	1	1	1	1	0.572623	1	1	0.278379	1	1	0.597392	1	0	1	1	0.400618	0.275367	1	0.587504	0.447469	1	1	0.525882	0.372231	0.398556	1	1	0.604705	0.421643	1	0.491912	0.309494	1	0.152278	0.287273	1	1	1	1	1	1	0.119383	1	0.390427	0.235632	1	1	0.403111	1	0.339698	1	1	1	0.430491	0.549968	1	0.201035	1	1	1	1	0.223339	0.347049	0.49484	1	0.435035	0.454043	1	1	1	1	0.137764	0.466665	0.485424	0.348947	0.442998	0.547857	1	1	0.461839	1	1	1	1	0.396601	1	0.382085	1	1	1	1	0.354354	1	1	1	1	0.332763	1	1	1
ubx_m21_FILTER_LEN11_20	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ubx_m22_FILTER_LEN11_21	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ubx_m23_FILTER_LEN11_22	1	1	1	1	0.582843	1	1	0.471521	1	1	0.600067	1	0.400618	1	1	0	0.46974	1	0.527743	0.517647	1	1	0.377525	0.43157	0.378232	1	1	0.636591	0.389099	1	0.472162	0.411608	1	0.512905	0.459333	1	1	1	1	1	1	0.521335	1	0.531496	0.444761	1	1	0.464305	1	0.453942	1	1	1	0.377096	0.587717	1	0.468657	1	1	1	1	0.583518	0.561043	0.429602	1	0.474668	0.533361	1	1	1	1	0.46601	0.636081	0.533169	0.532519	0.303639	0.707639	1	1	0.425155	1	1	1	1	0.472944	1	0.480021	1	1	1	1	0.483529	1	1	1	1	0.504211	1	1	1
ubx_m24_FILTER_LEN11_23	1	1	1	1	0.573136	1	1	0.252812	1	1	0.588195	1	0.275367	1	1	0.46974	0	1	0.580185	0.489189	1	1	0.621947	0.382716	0.390329	1	1	0.554755	0.527573	1	0.393346	0.426363	1	0.37768	0.424768	1	1	1	1	1	1	0.386419	1	0.518604	0.410892	1	1	0.338117	1	0.51831	1	1	1	0.366566	0.580977	1	0.421469	1	1	1	1	0.495809	0.305335	0.451242	1	0.608344	0.502868	1	1	1	1	0.248988	0.568862	0.558774	0.520651	0.523251	0.626645	1	1	0.54523	1	1	1	1	0.505688	1	0.407174	1	1	1	1	0.296075	1	1	1	1	0.411724	1	1	1
ubx_m25_FILTER_LEN11_24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ubx_m26_FILTER_LEN11_25	1	1	1	1	0.577225	1	1	0.608405	1	1	0.574794	1	0.587504	1	1	0.527743	0.580185	1	0	0.500385	1	1	0.56295	0.569813	0.656684	1	1	0.4874	0.470289	1	0.417255	0.592895	1	0.585136	0.526119	1	1	1	1	1	1	0.517081	1	0.664737	0.296655	1	1	0.498021	1	0.581769	1	1	1	0.662179	0.384614	1	0.603634	1	1	1	1	0.548276	0.679409	0.419339	1	0.568852	0.603608	1	1	1	1	0.591454	0.708603	0.453023	0.538087	0.639299	0.695801	1	1	0.69257	1	1	1	1	0.531985	1	0.389905	1	1	1	1	0.497943	1	1	1	1	0.555744	1	1	1
ubx_m27_FILTER_LEN11_26	1	1	1	1	0.524535	1	1	0.651035	1	1	0.541512	1	0.447469	1	1	0.517647	0.489189	1	0.500385	0	1	1	0.667058	0.513671	0.540753	1	1	0.535533	0.613939	1	0.47543	0.459245	1	0.470539	0.375575	1	1	1	1	1	1	0.457826	1	0.610166	0.391262	1	1	0.585053	1	0.533058	1	1	1	0.580527	0.30121	1	0.522229	1	1	1	1	0.621565	0.564536	0.26779	1	0.440221	0.594673	1	1	1	1	0.465416	0.578446	0.592741	0.486139	0.52296	0.661761	1	1	0.683205	1	1	1	1	0.503041	1	0.53895	1	1	1	1	0.519099	1	1	1	1	0.463819	1	1	1
ubx_m28_FILTER_LEN11_27	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ubx_m29_FILTER_LEN11_28	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ubx_m2_FILTER_LEN11_1	1	1	1	1	0.678376	1	1	0.438724	1	1	0.655417	1	0.525882	1	1	0.377525	0.621947	1	0.56295	0.667058	1	1	0	0.654001	0.619044	1	1	0.449461	0.606346	1	0.422981	0.694183	1	0.65814	0.653735	1	1	1	1	1	1	0.701331	1	0.458073	0.65254	1	1	0.617431	1	0.546211	1	1	1	0.297255	0.624166	1	0.438999	1	1	1	1	0.608297	0.612453	0.548193	1	0.65799	0.56737	1	1	1	1	0.672367	0.401467	0.48694	0.536712	0.250803	0.622878	1	1	0.449981	1	1	1	1	0.529075	1	0.581057	1	1	1	1	0.632355	1	1	1	1	0.60774	1	1	1
ubx_m30_FILTER_LEN11_29	1	1	1	1	0.561561	1	1	0.523921	1	1	0.58608	1	0.372231	1	1	0.43157	0.382716	1	0.569813	0.513671	1	1	0.654001	0	0.53427	1	1	0.670933	0.488509	1	0.615725	0.248449	1	0.371787	0.25783	1	1	1	1	1	1	0.492606	1	0.451151	0.292135	1	1	0.547019	1	0.436214	1	1	1	0.614543	0.575741	1	0.51676	1	1	1	1	0.444539	0.558565	0.516913	1	0.511548	0.586601	1	1	1	1	0.34987	0.371665	0.670783	0.499755	0.562614	0.446466	1	1	0.511588	1	1	1	1	0.507284	1	0.471011	1	1	1	1	0.506772	1	1	1	1	0.219966	1	1	1
ubx_m31_FILTER_LEN11_30	1	1	1	1	0.540513	1	1	0.390035	1	1	0.504548	1	0.398556	1	1	0.378232	0.390329	1	0.656684	0.540753	1	1	0.619044	0.53427	0	1	1	0.636198	0.44686	1	0.484488	0.504639	1	0.407404	0.441193	1	1	1	1	1	1	0.507549	1	0.465687	0.508045	1	1	0.467161	1	0.508505	1	1	1	0.406577	0.645396	1	0.395111	1	1	1	1	0.502596	0.411253	0.42183	1	0.549292	0.538067	1	1	1	1	0.481262	0.628414	0.541746	0.57273	0.492169	0.62187	1	1	0.430055	1	1	1	1	0.395344	1	0.53	1	1	1	1	0.390694	1	1	1	1	0.490432	1	1	1
ubx_m32_FILTER_LEN11_31	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ubx_m33_FILTER_LEN11_32	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ubx_m34_FILTER_LEN11_33	1	1	1	1	0.498241	1	1	0.515166	1	1	0.495284	1	0.604705	1	1	0.636591	0.554755	1	0.4874	0.535533	1	1	0.449461	0.670933	0.636198	1	1	0	0.615538	1	0.557003	0.684816	1	0.655469	0.674895	1	1	1	1	1	1	0.606121	1	0.513445	0.612551	1	1	0.603807	1	0.631326	1	1	1	0.640243	0.572775	1	0.697382	1	1	1	1	0.56692	0.618689	0.538656	1	0.494217	0.525097	1	1	1	1	0.631828	0.569445	0.513801	0.526111	0.576898	0.581531	1	1	0.597687	1	1	1	1	0.512849	1	0.336125	1	1	1	1	0.626228	1	1	1	1	0.591358	1	1	1
ubx_m35_FILTER_LEN11_34	1	1	1	1	0.594257	1	1	0.491234	1	1	0.534905	1	0.421643	1	1	0.389099	0.527573	1	0.470289	0.613939	1	1	0.606346	0.488509	0.44686	1	1	0.615538	0	1	0.525285	0.546786	1	0.411514	0.476595	1	1	1	1	1	1	0.397592	1	0.433105	0.454311	1	1	0.441315	1	0.324483	1	1	1	0.606563	0.35992	1	0.396264	1	1	1	1	0.441735	0.539599	0.4852	1	0.379107	0.386102	1	1	1	1	0.527546	0.562304	0.540915	0.487945	0.450176	0.561894	1	1	0.513315	1	1	1	1	0.398505	1	0.388759	1	1	1	1	0.525701	1	1	1	1	0.500609	1	1	1
ubx_m36_FILTER_LEN11_35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ubx_m37_FILTER_LEN11_36	1	1	1	1	0.634319	1	1	0.397633	1	1	0.601728	1	0.491912	1	1	0.472162	0.393346	1	0.417255	0.47543	1	1	0.422981	0.615725	0.484488	1	1	0.557003	0.525285	1	0	0.526347	1	0.49094	0.421576	1	1	1	1	1	1	0.559382	1	0.561987	0.62628	1	1	0.530525	1	0.528869	1	1	1	0.397904	0.487105	1	0.422821	1	1	1	1	0.499221	0.426688	0.487707	1	0.63281	0.6323	1	1	1	1	0.575459	0.450852	0.452344	0.575466	0.363155	0.683721	1	1	0.515972	1	1	1	1	0.538156	1	0.55791	1	1	1	1	0.40596	1	1	1	1	0.380496	1	1	1
ubx_m38_FILTER_LEN11_37	1	1	1	1	0.464839	1	1	0.528147	1	1	0.505426	1	0.309494	1	1	0.411608	0.426363	1	0.592895	0.459245	1	1	0.694183	0.248449	0.504639	1	1	0.684816	0.546786	1	0.526347	0	1	0.406336	0.229284	1	1	1	1	1	1	0.308847	1	0.496985	0.19171	1	1	0.487554	1	0.53265	1	1	1	0.67088	0.647633	1	0.436639	1	1	1	1	0.448731	0.494114	0.378533	1	0.53599	0.514168	1	1	1	1	0.220035	0.397262	0.544123	0.369993	0.520719	0.579756	1	1	0.509941	1	1	1	1	0.50591	1	0.50784	1	1	1	1	0.470296	1	1	1	1	0.243782	1	1	1
ubx_m39_FILTER_LEN11_38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ubx_m3_FILTER_LEN11_2	1	1	1	1	0.576307	1	1	0.451566	1	1	0.550408	1	0.152278	1	1	0.512905	0.37768	1	0.585136	0.470539	1	1	0.65814	0.371787	0.407404	1	1	0.655469	0.411514	1	0.49094	0.406336	1	0	0.23476	1	1	1	1	1	1	0.25606	1	0.461326	0.407301	1	1	0.454292	1	0.287837	1	1	1	0.558108	0.56186	1	0.327586	1	1	1	1	0.235005	0.413463	0.544144	1	0.583155	0.440789	1	1	1	1	0.281382	0.486298	0.61886	0.479347	0.482424	0.55172	1	1	0.547493	1	1	1	1	0.404963	1	0.511319	1	1	1	1	0.453691	1	1	1	1	0.352026	1	1	1
ubx_m40_FILTER_LEN11_39	1	1	1	1	0.526985	1	1	0.546765	1	1	0.555092	1	0.287273	1	1	0.459333	0.424768	1	0.526119	0.375575	1	1	0.653735	0.25783	0.441193	1	1	0.674895	0.476595	1	0.421576	0.229284	1	0.23476	0	1	1	1	1	1	1	0.304005	1	0.491588	0.287944	1	1	0.541326	1	0.401087	1	1	1	0.586802	0.356302	1	0.406512	1	1	1	1	0.453118	0.471204	0.421818	1	0.465789	0.502758	1	1	1	1	0.339279	0.598237	0.590457	0.371368	0.564397	0.527126	1	1	0.479648	1	1	1	1	0.49463	1	0.450731	1	1	1	1	0.438068	1	1	1	1	0.160134	1	1	1
ubx_m41_FILTER_LEN11_40	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ubx_m42_FILTER_LEN11_41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
